"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107789958"	0	8	24	10	6	20
"LOC107790102"	31	50	20	27	43	53
"LOC107790188"	31	17	44	28	31	36
"LOC107790243"	13	20	21	16	26	26
"LOC107790379"	350	332	428	318	274	395
"LOC107790468"	0	0	0	0	0	0
"LOC107790797"	577	425	612	414	419	540
"LOC107790960"	56	44	33	18	16	18
"LOC107790877"	253	304	279	139	140	131
"LOC107790553"	0	0	0	0	0	0
"LOC107790634"	53	81	60	30	15	39
"LOC107790718"	41	70	43	25	27	19
"LOC107791016"	3	11	2	0	2	1
"LOC107791073"	25	24	13	47	70	44
"LOC107791150"	87	83	64	60	88	8
"LOC107791314"	737	643	794	499	539	556
"LOC107791445"	375	276	395	247	351	397
"LOC107791615"	2	1	8	0	0	0
"LOC107791859"	401	353	734	951	1650	1067
"LOC107792031"	76	100	124	70	44	75
"LOC107792538"	29	13	94	37	78	86
"LOC107792456"	0	0	0	0	0	0
"LOC107792367"	0	0	0	0	0	0
"LOC107792198"	0	0	0	0	0	0
"LOC107792775"	635	486	608	484	559	524
"LOC107792916"	1030	873	1225	585	631	769
"LOC107793057"	0	0	0	0	0	0
"LOC107793225"	38	104	54	136	129	190
"LOC107793356"	159	63	146	55	59	89
"LOC107793439"	2093	2357	2755	3097	3694	3304
"LOC107793657"	1349	937	1722	2101	2874	2617
"LOC107793780"	41	34	32	23	22	14
"LOC107793865"	34	29	20	23	14	17
"LOC107793577"	72	74	66	54	58	61
"LOC107793955"	185	173	148	110	133	215
"LOC107794158"	141	194	149	130	126	147
"LOC107794241"	698	602	673	433	354	582
"LOC107794330"	93	109	248	117	178	241
"LOC107794427"	50	49	42	45	79	94
"LOC107794487"	0	0	0	0	0	0
"LOC107794545"	297	340	433	167	201	312
"LOC107794625"	11	4	14	0	6	11
"LOC107795016"	58	37	43	31	38	35
"TRNAV-AAC"	0	0	0	0	0	0
"LOC107795212"	0	0	0	0	0	0
"LOC107795384"	91	52	124	61	64	68
"LOC107795299"	4	6	0	0	0	2
"LOC107795467"	515	491	515	336	286	302
"LOC107795543"	289	181	256	193	247	306
"LOC107795756"	0	6	0	4	2	6
"LOC107795833"	772	642	705	444	344	393
"LOC107796019"	18	20	11	6	14	19
"LOC107796107"	258	174	170	114	101	93
"LOC107796246"	161	192	141	32	37	42
"LOC107796335"	50	46	73	49	42	56
"LOC107796425"	73	54	75	44	62	72
"LOC107796586"	16	20	20	10	8	8
"LOC107796744"	436	345	506	368	298	493
"LOC107796823"	162	157	171	114	134	166
"LOC107796672"	2	1	0	0	0	0
"LOC107796880"	279	283	384	339	419	314
"LOC107797025"	4375	3875	5237	5475	4814	5057
